phrase,phrasekey,is_acronym
mf next com,mnc,0
mirchi fashion,mf,0
rainbow bubbles,rb,0
t rock,tr,0
vicenza lifestyle,vl,0
cubic fun,cf,0
deepa gurnani,dg,0
global rich,gr,0
modi kurta,mk,0
soru fashion,sf,0
urban scottish,us,0
varkha fashion,vf,0
bb junior,bj,0
bow n bee,b&b,1
bow n bee,bnb,1
daniel klein,dk,0
i know,ik,0
joe black,jb,0
5th anfold,5a,0
american archer,aa,0
anika's creation,c,0
s&n by shantanu and nikhil,sbs&n,0
s&n by shantanu and nikhil,sbsnn,0
7 threads,7t,0
abiti bella,ab,0
modi jacket,mj,0
poetic piyani,pp,0
signature by sweet dreams,sbsd,0
tessa moda,tm,0
varkala silk sarees,vss,0
global step,gs,0
pause sport,ps,0
pop culture,pc,0
sg yuvraj,sy,0
the mom store,tms,0
venitian- for bidden clothing,fbc,0
lk lazy katz night wear,llknw,0
mardi gras,mg,0
rena love,rl,0
season creation,sc,0
the cotton company,tcc,0
zima leto,zl,0
aritos india,ai,0
club york,cy,0
dealseven fashion,df,0
fashion almari,fa,0
jas robes,jr,0
ribbon candy,rc,0
trendy rabbit,tr,0
american bull,ab,0
fab forever,ff,0
noorani biswas,nb,0
satya paul,sp,0
sun staches,ss,0
across the pond,atp,0
hps sports,hs,0
kids craft,kc,0
national geographic,ng,0
present creation,pc,0
rmsr basak,rb,0
roots by ruggers,rbr,0
anonymous co,ac,0
hush puppies,hp,0
jevi prints,jp,0
pi world,pw,0
trance home linen,thl,0
wish karo,wk,0
alex toys,at,0
karmic vision,kv,0
park avenue women,paw,1
sj slumber jill,ssj,0
thunder jeans,tj,0
banarasi silk works,bsw,1
bombay high,bh,0
jaipur pride,jp,0
new cotton curio,ncc,0
rh us-house of collectibles,roc,0
taro india,ti,0
clo clu,cc,0
fly fashion,ff,0
i am for you,iafy,0
lee cooper women,lcw,1
parrot crow,pc,0
toddlers lic,tl,0
blanc 9,b9,1
haute diva,hd,0
love diana,ld,0
de moza,dm,0
fashion ritmo,fr,0
missali 1932,m1932,1
patriot apparels,pa,0
the label life,tll,0
double two,dt,0
fort collins,fc,0
jean café,j,0
man o' war,mw,0
tara c tara,tct,1
indie picks by ajio,ipba,0
jaconet apparel,ja,0
jealous 21,j21,1
the clownfish,tc,0
house this,ht,0
king apparel,ka,0
saint laurent,sl,0
sg leman,sl,0
vintage love,vl,0
anuka jewels,aj,0
carpet couture,cc,0
design gaatha home living,dghl,0
los polistas,lp,0
indie picks essentials,ipe,0
la loft,ll,0
label kara,lk,0
milano torre,mt,0
bishop cotton,bc,0
textile nation,tn,0
young trendz,yt,0
pink woman,pw,0
pmd fashion,pf,0
salwar studio,ss,0
sofia baldi,sb,0
crimsoune club,cc,0
halton hills,hh,0
modern ant,ma,0
pierre cardin,pc,0
stella mccartney,sm,0
fashion cult,fc,0
indian virasat,iv,0
kvs fab,kf,0
magnetic designs,md,0
solid styles,ss,0
taanz womens,tw,0
a clutch story,acs,0
claude bernard,cb,0
next look,nl,0
red chief,rc,0
shaftesbury london,sl,0
arriva fab,af,0
aruna sarees,as,0
doctor feel soft,dfs,0
ethnic curry,ec,0
homeplus retails,hr,0
shree shubh,ss,0
vishnu weaves,vw,0
day 2 day,d2d,1
weave and knits,wnk,1
weave and knits,w&k,1
zink london,zl,0
adamo london,al,0
blue saint,bs,0
ethnic junction,ej,0
khoday williams,kw,0
fair deal innocence,fdi,0
ganuchi by franco leone,gbfl,0
one step,os,0
nangalia ruchira,nr,0
new balance,nb,0
nins moda,nm,0
basiics by laintimo,bbl,0
le firangi,lf,0
rajesh pratap singh,rps,0
underjeans by spykar,ubs,0
voi jeans,vj,0
american eye,ae,0
belle fille,bf,0
reliance jewels,rj,0
road rockers,rr,0
bck by buckaroo,bbb,0
linen club,lc,0
medhya label,ml,0
rbe- crayola,c,0
the blouse factory,tbf,0
vardan prints,vp,0
avdhut trading,at,0
royal reel films,rrf,0
sanaa creations,sc,0
uptownie lite,ul,0
12 angel design world,12adw,0
british club,bc,0
glam roots,gr,0
one liner,ol,0
savastra couture,sc,0
gehena by estele,gbe,0
neeta lulla,nl,0
vastraa fusion,vf,0
burnt umber,bu,0
genius box,gb,0
mcq-alexander mcqueen,m,0
we square 97s bros,ws9b,0
x blues,xb,0
jewels capital,jc,0
sbo fashion,sf,0
sej by nisha gupta,sbng,0
adjoin steps,as,0
funku fashion,ff,0
runway ritual,rr,0
women touch,wt,0
fifty two,ft,0
lee moda,lm,0
the magic wand,tmw,1
vivid india,vi,0
daily objects,do,0
fashion comfortz,fc,0
the man company,tmc,1
beverly blues,bb,0
jb studio,js,0
jbn creation,jc,0
raymond weil,rw,0
ww won now,wwn,0
do bhai,db,0
dupatta world,dw,0
le petit moineau,lpm,1
tim n cook,t&c,1
tim n cook,tnc,1
varsiddhi fashions,vf,0
aesthetic bodies,ab,0
aj dezines,ad,0
satya fusion,sf,0
bitiya by bhama,bbb,0
infinity nado,in,0
moda hombre,mh,0
mode rebel,mr,0
shriya som,ss,0
361 degrees,361d,1
69th avenue,6a,0
as trend,at,0
ginger by lifestyle,gbl,0
vento varme,vv,0
bhoomi style,bs,0
blisser pro,bp,0
indian terrain boys,itb,0
tutti frutti,tf,0
diana korr,dk,0
jakks pacific,jp,0
lapis o lupo,lol,0
rare rabbit,rr,0
rg designers,rd,0
titan sunglass,ts,0
bhuwal fashion,bf,0
budding bees,bb,0
la filaments,lf,0
alexander mcqueen,am,0
cross jeans,cj,0
miss forever,mf,0
nv bhandar,nb,0
harvard common press,hcp,0
just fashion,jf,0
steorra jewels,sj,0
jq by ayesha,jba,0
molcha by babita singh,mbbs,0
rangeelo rajasthan,rr,0
vida loca,vl,0
royal brats,rb,0
saffron threads,st,0
the hollander,th,0
the souled store,tss,0
black coffee,bc,0
i addicted,ia,0
le bourgeois,lb,0
yellow apple,ya,0
bailey sells,bs,0
diva walk,dw,0
instafab plus,ip,0
silk land,sl,0
flip jack,fj,0
r k maniyar,rkm,0
thomas pink,tp,0
whp jewellers,wj,0
shoe alive,sa,0
swiss design,sd,0
toy story,ts,0
charu desi,cd,0
clog london,cl,0
jjaagg t,jt,0
pikmi pops,pp,0
amipara creation,ac,0
gio collection,gc,0
jacques bogart,jb,0
just cavalli,jc,0
miss chase,mc,0
wave walk,ww,0
hundo p,hp,0
only vimal-apparel,o,0
sky heights,sh,0
charming jewels,cj,0
iscon empex,ie,0
mypac db,md,0
bey blade,bb,0
bright cotton,bc,0
fs foot stair,ffs,0
appealing home,ah,0
wine lady,wl,0
