incorrect_words
banarsi
bleu
eaarings
earings
earringss
jewelery
jewelry
jewlery
jewllery
jwellery
kurt
lenght
multicolured
pendent
pushpa
sari
shart
sharts
shitrs
shits
slingbag
slingbags
sweshirt
sweshirts
t-shit
tshits
