row_num,word,rightword,,w_count,r_count,old_r_count,soundex,dropThese?,RtoR,Remarks,mapping_type
1711,redloop,redloop,#N/A,41,41,64132,R341,,TRUE,,R2R
1712,redmi,redmi,#N/A,10,10,179885,R350,,TRUE,,R2R
1713,redtap,redtape,#N/A,,,52894,R310,,FALSE,,W2R
1714,redtop,red tops,#N/A,,,68,R310,,FALSE,,W2R
1715,regural,regular,#N/A,,1007303,15281,R264,,FALSE,,W2R
1716,retaliation,retaliation,#N/A,4,4,16663,R343,,TRUE,,R2R
1717,riding,rider,#N/A,20,175,,,,,,R1 2 R2
1718,ring,rings,#N/A,24917,20811,,,,FALSE,,R1 2 R2
1719,ringle,rings,#N/A,,20811,,,,FALSE,,R1 2 R2
1720,ringlet,rings,#N/A,1,20811,,,,FALSE,,R1 2 R2
1721,rings,rings,#N/A,20811,20811,,,,TRUE,,R2R
1722,ripped,distressed,#N/A,255,2671,,,,FALSE,,R1 2 R2
1723,rts,dress materials,#N/A,1,,,,1,FALSE,,W2R
1724,rucksack,backpacks,#N/A,60,3901,,,,FALSE,,W2R
1725,rugged,distressed,#N/A,140,2671,,,,FALSE,,R1 2 R2
1726,runallday,runallday,#N/A,,,19482,R543,,TRUE,,R2R
1727,runfalcon,runfalcon,#N/A,28,28,35963,R514,,TRUE,,R2R
1728,saadi,sarees,#N/A,,119194,,,,FALSE,,W2R
1729,saari,sarees,,,119194,,,,,,W2R
1730,saaris,sarees,,,119194,,,,,,W2R
1731,saare,sarees,saare,1,119194,12649,O126,,FALSE,,W2R
1732,saare,sarees,saare,1,119194,,,1,FALSE,,W2R
1733,saaree,sarees,saaree,,119194,12649,O126,,FALSE,,W2R
1734,saaree,sarees,#N/A,,119194,,,1,FALSE,,W2R
1735,sadi,sarees,#N/A,35,119194,,,,FALSE,,W2R
1736,sadri,sadri,#N/A,,,45893,S360,,TRUE,,R2R
1737,sahree,sarees,#N/A,,119194,855,S600,,FALSE,,W2R
1738,salbar,salwars,#N/A,,14403,18171,S416,,FALSE,,W2R
1739,salvar,salwars,#N/A,,14403,,,,FALSE,,W2R
1740,salvar suits,kurta suit sets,#N/A,,,,,,FALSE,,W2R
1741,salvars,salwars,#N/A,,14403,,,,FALSE,,W2R
1742,salvarsuits,kurta suit sets,#N/A,,,,,,FALSE,,W2R
1743,salwar,salwars,#N/A,2841,14403,,,,FALSE,,R1 2 R2
1744,salwar kameez,kurta suit sets,#N/A,,,,,,FALSE,,W2R
1745,salwar suit,kurta suit sets,#N/A,,,,,,FALSE,,R1 2 R2
1746,salwar suits,kurta suit sets,#N/A,,,,,,FALSE,,R1 2 R2
1747,salwars,salwars,#N/A,14403,14403,,,,TRUE,,R2R
1748,salwarsuit,salwar suit,salwarsuit,,,35900,S462,1,FALSE,,W2R
1749,salwarsuit,kurta suit sets,#N/A,,,,,,FALSE,,W2R
1750,salwarsuits,salwar suits,salwarsuits,,,16533,S462,1,FALSE,,R2R
1751,salwarsuits,kurta suit sets,#N/A,,,,,,FALSE,,R1 2 R2
1752,sambalpur,sambalpuri,#N/A,,213,,,,FALSE,,W2R
1753,sambhalpur ikat,orissa ikat,#N/A,,,,,1,FALSE,,R1 2 R2
1754,sambhalpuri ikat,orissa ikat,#N/A,,,,,1,FALSE,,R1 2 R2
1755,sambrey,chambray,#N/A,,162,,,,FALSE,,W2R
1756,samsung,samsung,#N/A,6,6,127241,S525,,TRUE,,R2R
1757,sandal,flat sandals,#N/A,1386,,,,1,FALSE,,R2R
1758,sandals,flat sandals,#N/A,38568,,,,1,FALSE,,R2R
1759,sandeks,sandles,#N/A,,1,17223,S532,,FALSE,,W2R
1760,sandkes,sandles,#N/A,,1,33396,S532,,FALSE,,W2R
1761,sando,vests,#N/A,3,4164,,,,FALSE,,R1 2 R2
1762,sandos,sandos,#N/A,,,13471,S532,,TRUE,check,R2R
1763,sandoz,vests,#N/A,,4164,,,,FALSE,,W2R
1764,sanganer,jaipur,sanganer,67,2941,,,1,FALSE,becoming sanganeri and going to open tokens,R2R
1765,sanganer,bagru,#N/A,67,1669,,,1,FALSE,becoming sanganeri and going to open tokens,R1 2 R2
1766,sanganeri,jaipur,sanganeri,1768,2941,,,1,FALSE,going to open tokens,R1 2 R2
1767,sanganeri,bagru,#N/A,1768,1669,,,1,FALSE,going to open tokens,R1 2 R2
1768,sangaria,sangaria,#N/A,,,42652,S526,,TRUE,,R2R
1769,sankers,sneakers,#N/A,,22495,14332,S526,,FALSE,,W2R
1770,sarbani,sherwani,#N/A,,5656,11242,S615,,FALSE,conflicting candidate for Armani and sherwani,W2R
1771,saree,sarees,#N/A,116880,119194,,,,FALSE,,R1 2 R2
1772,saare,sarees,,1,119194,,,,FALSE,,W2R
1773,saares,sarees,,,119194,,,,FALSE,,W2R
1774,sareer,sarees,#N/A,,119194,24511,S660,,FALSE,,W2R
1775,sareers,sarees,#N/A,,119194,23515,S662,,FALSE,,W2R
1776,sarees,sarees,#N/A,119194,119194,,,,TRUE,,W2R
1777,sari,sarees,#N/A,,119194,,,,FALSE,,W2R
1778,saris,sarees,#N/A,,119194,,,,FALSE,,W2R
1779,sarries,sarees,#N/A,,119194,3648,S620,,FALSE,,W2R
1780,sarry,sarees,#N/A,,119194,5091,S600,,FALSE,,W2R
1781,sart,shirt,#N/A,,273833,8249,S630,,FALSE,,W2R
1782,sarvani,sherwani,#N/A,,1891,23215,S615,,FALSE,,W2R
1783,sasta,cheap,#N/A,,6,15544,S230,,FALSE,,W2R
1784,sateen,satin,#N/A,89,17456,,,,FALSE,,W2R
1785,saten,satin,#N/A,,17456,,,,FALSE,,W2R
1786,satoon,satin,#N/A,,17456,,,,FALSE,,W2R
1787,saturn,saturn,saturn,11,11,25789,S365,,TRUE,,W2R
1788,saturn,satin,#N/A,11,17456,,,1,FALSE,,R1 2 R2
1789,sauth coton,south cotton,#N/A,,,,,,FALSE,,W2R
1790,scacher,skechers,#N/A,,995,13214,S260,,FALSE,,W2R
1791,scandles,sandles,#N/A,,1,43142,S534,,FALSE,,W2R
1792,scarf,scarves,scarf,1862,5470,,,,FALSE,,R1 2 R2
1793,scarf,scarves,#N/A,1862,5470,,,1,FALSE,,R1 2 R2
1794,scarve,scarves,#N/A,2,5470,,,,FALSE,,W2R
1795,scarves,scarves,#N/A,5470,5470,,,,TRUE,,W2R
1796,scatchers,skechers,#N/A,,995,1747,S326,,FALSE,,W2R
1797,schecher,skechers,#N/A,,995,15575,S260,,FALSE,,W2R
1798,schechersh,skechers,#N/A,,995,193,S262,,FALSE,,W2R
1799,sckecher,skechers,#N/A,,995,15470,S260,,FALSE,,W2R
1800,scorpius,scorpius,#N/A,445,445,15486,S612,,TRUE,,R2R
1801,scrached,scrached,#N/A,,,11413,S623,,TRUE,,R2R
1802,screchers,skechers,#N/A,,995,1006,S626,,FALSE,,W2R
1803,seawalk,seawalk,#N/A,1,1,13208,S420,,TRUE,,R2R
1804,seequen,sequin,#N/A,,1178,,,,FALSE,,W2R
1805,selevees,sleeves,#N/A,,41997,12335,S412,,FALSE,,W2R
1806,selevs,sleeves,#N/A,,41997,52422,S412,,FALSE,,W2R
1807,semi-formal,casual,#N/A,124,1177030,,,1,FALSE,,R1 2 R2
1808,semi-stitched,dress materials,#N/A,1504,,,,1,FALSE,,R1 2 R2
1809,semiformal,casual,#N/A,2,1177030,,,,FALSE,,W2R
1810,sendle,sandals,#N/A,,38568,15594,S534,,FALSE,,W2R
1811,senior,senior,#N/A,10,10,73575,S560,,TRUE,,R2R
1812,seppals,slippers,#N/A,,12169,20061,S142,,FALSE,,W2R
1813,sequen,sequin,#N/A,,1178,,,,FALSE,,W2R
1814,sequinn,sequin,#N/A,2,1178,,,,FALSE,,W2R
1815,serbani,sherwani,#N/A,,1891,15954,S615,,FALSE,,W2R
1816,servani,sherwani,#N/A,6,1891,1175,S615,,FALSE,,W2R
1817,setfor,set,#N/A,,172140,29657,S316,,FALSE,,W2R
1818,setsfor,sets,#N/A,,148159,33636,S321,,FALSE,,W2R
1819,sexy,evening,#N/A,518,35581,,,,FALSE,,R1 2 R2
1820,shaadi,wedding,#N/A,5,3610,,,,FALSE,,W2R
1821,shaal,shawls,#N/A,,2231,,,,FALSE,,W2R
1822,shaals,shawls,#N/A,,2231,,,,FALSE,,W2R
1823,shade,sunglasses,#N/A,3185,15252,,,1,FALSE,shade can be related to beauty categories. can have synonyms as sunglasses,multiple combinations possible
1824,shades,sunglasses,#N/A,760,15252,,,,FALSE,,R1 2 R2
1825,shadi,wedding,#N/A,16,3610,,,,FALSE,,W2R
1826,shal,shawls,#N/A,,2231,,,,FALSE,,W2R
1827,shall,stoles,#N/A,119,3659,,,,FALSE,"is a stopword now, but is shawl a better match?",W2R
1828,shambray,chambray,#N/A,,162,,,,FALSE,,W2R
1829,shambre,chambray,#N/A,,162,,,,FALSE,,W2R
1830,shambrey,chambray,#N/A,,162,,,,FALSE,,W2R
1831,shapers,shapewear,#N/A,67,1778,,,,FALSE,,W2R
1832,shapewear,shapewear,#N/A,1778,1778,,,,TRUE,,R2R
1833,shapewears,shapewear,#N/A,64,1778,,,,FALSE,,R1 2 R2
1834,shart,shorts,shart,,45307,,,1,FALSE,,multiple combinations possible
1835,shart,shirts,#N/A,,220084,,,1,FALSE,,multiple combinations possible
1836,sharts,shorts,sharts,,45307,,,1,FALSE,,multiple combinations possible
1837,sharts,shirts,#N/A,,220084,,,1,FALSE,,multiple combinations possible
1838,sharvani,sherwani,#N/A,,1891,41357,S615,,FALSE,,W2R
1839,shawl,shawls,#N/A,1821,2231,,,,FALSE,,W2R
1840,shawls,shawls,#N/A,2231,2231,,,,TRUE,,R2R
1841,shearling,shearling,#N/A,11,11,15931,S645,,TRUE,,R2R
1842,sheebori,shibori,#N/A,,230,,,,FALSE,changed value,W2R
1843,shiborie,shibori,#N/A,,230,,,,FALSE,,W2R
1844,shifan,chiffon,#N/A,,13689,11332,S150,,FALSE,,W2R
1845,shiffan,chiffon,#N/A,,13689,22336,S150,,FALSE,,W2R
1846,shifon,chiffon,#N/A,3,13689,51012,S150,,FALSE,,W2R
