keyword,synonyms,type
,Sunscreen|Sunscreen Lotion|SPF|Sun Block,synonym
,TV|Television,synonym
,Talcum Powder|Talc,synonym
,Tejpatta|Tamal Patra|Talisapatri|Karuvayila|Vayanayila|Piriyani Ilai|Brinji elai,synonym
,Tinda|thonde kayi|dhemse|tinda|tinda kaaya|Dhemase,synonym
,Urination Funnel|Urination Device,synonym
,VR|Virtual Reality,synonym
,White Pepper|White peppercorns,synonym
,White Til|Safed Til|Velutha ellu|Vellai Ellu,synonym
,Wired|Wire,synonym
,aaloo|batata|alu|bataka|aalo|aalu|aloogedde|urlakizhangu|arthapal|urulai kizhangu|bangaladumpa|urlagadda,synonym
,aam|mambalam|maambalam|keri|maavina|maambazham|aamba|amba|Mampalam|mamidi,synonym
,adrak|adrik|ada|aadu|shunti|aale|ada|inguru|inji|allam,synonym
,air bud|apple pods|airpods,synonym
,air conditioner|AC|air con,synonym
,air freshener|room freshener|room fragrance,synonym
,airdopes 141|airdopes 148|boat 141,synonym
,amaranthus|Thotakura|chaulai|amaranth|dhantinasopp|Sirikeerai|Thota Koora|siru keerai,synonym
,amla|aamlokhi|nellikayi|nellikka|avla|Nellikkay|Jamakaya,synonym
,amrud|madhri aam|jamphala|perala|Payrakka|peru|pijuli|Koyya,synonym
,anaanas|sapurI|Annaci|Anasapandu|panasapandu,synonym
,anar|dalim|dadam|dalimbe|maathalanaarakam|dallimba|Matulai|Danima,synonym
,angur|draksh|dhraakshi|munthiri|angura|Tiratcai,synonym
,anjeer|anjir|dimoru|anjura,synonym
,ankurit|ankuron|Aṅkura|Moggugaḷu|mulakal|Aṅkura|fala|Mulaikal|Molakalu,synonym
,arabi|kochu|alavi|pattarveliya|kesuvinagadde|chembu|arvi|arbi|saru|seppan kizhangu|chaama gadda,synonym
,asian paint brush|wall paint brush|paint brush,synonym
,avantra|varja|vivitka|anukta,synonym
,avocado|butter fruit,synonym
,baby|kids,synonym
,bael|vilampazham|Velega Pandu|Baelada Hannu|Kaith|Katbel|Kathbel,synonym
,baigan|baingan|begun|vankaya|Bengena|Ringan|badanek ayi|Vazhuthananga|vangi|baigana|wambatu|kathri kai,synonym
,basic phone|keypad phone|Basic Mobile Phone|keypad Mobile|Basic Keypad mobile,synonym
,basmati rice|biryani rice,synonym
,battery|cell|battery cell|cell battery,synonym
,bhindi|bhendi|dherosh|bhinda|bende kayi|vendakka|bandakka|vendaikaai|benda kaya,synonym
,bhutta|makoi|Makai|Jola|cheaalam|makaa|Maki|Colam|Mokkajonna,synonym
,bilahi|tamatar|taameta|thakkaalli|bilati baigana|thakkali|thakkaali|Raamamulaga kaaya,synonym
,biscuit|cookies,synonym
,bogori|koli|Alubukhara,synonym
,cam|camera,synonym
,canvas|canvas board,synonym
,car freshener|car fragrance|car perfume,synonym
,carpet,synonym
,carrom board|carrom,synonym
,cashew nut|cashew,synonym
,celery|Ajwainn ke patte|Celery|Joni|Khak|sivari,synonym
,chaas|chaanch,synonym
,chandramallika|sevanti,synonym
,chestnut|trapa natans|ling|ling chio|jesuit nut|water caltrops,synonym
,chhole|kuragaya,synonym
,chimta|pakkad,synonym
,chow chow|bangalore brinjal,synonym
,chukandar|butmah|Bitano kanda|beettoottu|bit mula|Cukadara,synonym
,ch|channel,synonym
,cloth drying stand|cloth dry stand|cloth dryer stand|cloth dryer|cloth dry standard|cloth drying|cloth drying rack|cloth drying hanger|cloth dry|cloth drying stand hanging|cloth drying plastic stand|cloth drier|cloth dryers|clothes drying stand|clothes dryer stand|clothes dryer|clothes drying rack|cloth stand,synonym
,coca cola|coke,synonym
,coccinia|ivy gourd,synonym
,cold drink|soft drink|cold drinks|soft drinks|drinks|coldrink|colddrink,synonym
,condition|conditioning|conditioner,synonym
,cooking oil|oil cooking|edible oil,synonym
,cycle|bicycle,synonym
,dal|dhuli,synonym
,dari|chatai,synonym
,detergent bar|detergent cake|detergent soap|washing soap|laundry bar|laundry cake|laundry soap|washing bar|washing cake,synonym
,detergent powder|laundry powder|washing powder,synonym
,dhaniya|dhoniya|dhoney|kothamir|kothamiri soppu|kothimbir|kothamalli,synonym
,digi|digital,synonym
,dishwash gel|utensil gel,synonym
,disposable bag|garbage bag,synonym
,diya|deep,synonym
,doodh|paal,synonym
,dustbin|trash can|garbage bin|waste bin|waste basket|waste bucket|garbage bucket|garbage basket|garbage container|garbage,synonym
,e55|e55bt,synonym
,earbuds|headphones|headsets,synonym
,earpods|earbuds|earphones|in ear earbuds|in ear ear buds|ear speaker|earpiece,synonym
,extension|extension box|extension board|extension cord|power strip|powerstrip|cord,synonym
,face facewash|face wash,synonym
,fair n lovely|glow n lovely|fair & lovely|glow & lovely,synonym
,fansi|farsbi,synonym
,fast charger|turbo charger,synonym
,fire bolt smartwatch|fire-boltt smartwatch|fire boltt smartwatch|fire bolt|fire-boltt|fireboltt|firebolt smartwatch|firebolt smart watch|fireboltt smartwatch|fire boltt smart watch|firebolt|fire boltt|firebolt smart smartwatch,synonym
,foot cream|heel cream,synonym
,foot mat|doormat,synonym
,football,synonym
,fridge|refrigerator|freeze,synonym
,fruits and vegetables|fruits & vegetables|vegetables and fruits|fresh fruits and vegetables,synonym
,ful|phul|phool|hoovu,synonym
,gajar|gaazor|gajor|gaajar|gajjari|sheema mullangi|gajara,synonym
,genda|jhendu,synonym
,gen|generation,synonym
,giloy|amrutha balli|aamoi lota|chittamruthu|Guduchi|Seendilkodi|Tippateega|Shindilakodi,synonym
,grapefruit|pomelo|Citrus paradisi|shaddock,synonym
,groundnut|peanuts|peanut,synonym
,gulab|gulab phool,synonym
,gwar phali|gaur phali|barbati|borboti|guvar|huruli kayi|shravvan ghevada|kothavarangai|goru chikkudu kaya|matti kaya|bahuruli kayi|shravvan ghevada,synonym
,hari mirch|kancha lonka|lila marcha|hasi menasu|hirvi mirchi|kancha lanka|Padhai milagai|pacchi mirpakaya|green mirchi,synonym
,headphones|headsets,synonym
,health|nutrition|energy,synonym
,horse toys|horse rocker,synonym
,ice tray|iceberg tray|ice cube tray,synonym
,imli|teteli|tetul|aambli|hunase hannu|valanpuli|puli|chincha|tentuli|siyambala|chinta pandu,synonym
,iwatch|apple watch,synonym
,jardalu|khubani,synonym
,jimikand|suvarna gadde|senai kizhangu|kanda gadda|karunai,synonym
,kaddu|kumara|kumro|kolu|kumbala kayi|maththanga|laal bhopla|kakharu|wattakka|parangika|gummadi kaya|arasanai kai,synonym
,kadipatta|narasingha paat|kaari paata|mitho limado|kari bevina soppu|karivepila|kariyapela|goad limba|bhrunsunga patra|karapincha|kari veppilai|karivepaaku,synonym
,karela|korola|uchchhey|kaarela|hagalak ayi|kaipakka|pavakka|karle|kalara|karawi|pavai kai|paaharkai|kakara kaya,synonym
,karonda|Kilaakkaai,synonym
,katthal|kothal|kanthal|fanas|halasina kayi|chakka|panasa|Kos|palakkai|panasa kaya,synonym
,kela|kol|kolaa|kela|baley hannu|kadali|kesel|vazhaikkai|arati kaya,synonym
,kg|kilo|kilos|kilogram|kilograms,synonym
,khajur|xejur|kharjurada hannu|Eenthapazham|kharjur|khajuri|tetikal|Kharjooram,synonym
,kharbooja|shakar teti|kasthoori thannimathan|Kasturi,synonym
,knol khol|Navil Kosu|Nookal,synonym
,kochu|alavi|pattarveliya|kesuvinagadde|chembu|arvi|saru|arbi|seppan kizhangu|chaama gadda,synonym
,kundru|tendli|kunduru|tindli|kunduli|kundri|tindola|kaagethonde|theekuduru|tondekayi|kova|koval|tondli|kunduri|kovi|kotturukanni|naripputu|vimpa|donda kaya|kaki donda kaya,synonym
,ladies|women,synonym
,lahsun|nohoru|roshun|lasan|belulli|veluthulli|lasun|rasuna|sudu luunu|poondu|vellulli|chinna ullipaya,synonym
,laptop|portable computer|lappy,synonym
,lauki|dudhi|soray kayi|churakkai|churaykka|dudhi bhopala|ghisya|diya labu|surai kai|sorakaaya,synonym
,laung|lavangam|Lavang|Lavangalu|Lavanga|Grampoo|Kirampoo|Krambu,synonym
,lcd tv|led tv,synonym
,leggings|stretchable leggings,synonym
,lock|lock and key,synonym
,long lasting| long last,synonym
,lota|Kalash,synonym
,lotion|moisturizer|cream,synonym
,ltr|litre|liters|litres|ltrs|liter|L,synonym
,lux rose|lux pink,synonym
,magsafe|magnetic charger,synonym
,makhan phal|benne hannu|avaiakkada,synonym
,makkhan|maakhan,synonym
,massage|massager,synonym
,microfiber|microfiber cloth,synonym
,mic| microphone,synonym
,milkshake|flavored milk,synonym
,mill|flour mill,synonym
,mitha aalu|shakkariya|genasu|madhurakkiz|kandamula|shakkar kandi|sarkaraivalli kizhangu|chilakada dumpa|shakarkand|shakar kand|ranga aaloo|mishti aaloo|ratale|ratalu|bathal,synonym
,mobile charger|adapter|AC Adapter|charger|AC power adapter|plug adapter,synonym
,mobile|phone|smartphone|mobile phone,synonym
,mooli|mulo|mulangi|mula|mulaa|Mullanki|Mullangi,synonym
,moong phali|cheena badam|magfuli|shing|kadale kaayi|shenga|shengdana|china badam|Rata kaju|kadalai|veru senega pappu|pallelu|senega pappu,synonym
,mop|mopping|floor mopping,synonym
,mosambi|mausomi|Inippu cunnampu,synonym
,murunga|marungai|munaga|mullakkaaya|sahjan|sojina|shojne danta|saragwaa ni shing|nugge kaayi|muringakka|shevgyachya shenga|sajana|sujuna,synonym
,mustard leaf|leafy mustard,synonym
,nail polish|nail paint|nail color|nail trend|nail enamel,synonym
,nashpati|mara sebi|Perikkay pallam|Peerupandu,synonym
,nimbu|nemu|limbu|nimbe|naaranga|lembu|Elumiccai|Nimmakaya,synonym
,nora bogori|pic|peechu|pIch phala|Pic pallam|Peachu,synonym
,oil 15 kg|oil 15 liter|oil 15 L|oil 15 litre,synonym
,oil pastels|oil color,synonym
,onion|onion5kg|onion 5kg|onion 5 kg,synonym
,padwal|chichinga|dhunduli|chichinga|pandola|padavali|paddvala kayi|padaval anga|padval|chachindra|galartori|pathol|padavalangai|pudalankai|potla kaaya|lingapotla,synonym
,paint|polish|enamel,synonym
,paleng xaak|paalong shaak|palak|palak soppu|palanga|niwithi|pasalai keerai|paala koora,synonym
,papita|omita|papayu|parangi|papai|amruta banda|Pappali,synonym
,parwal|parora|patal|potol|parval|mara thonde|parwar|potala|potals,synonym
,patla|plastic patla,synonym
,patta gobhi|banda gobhi|bandhakopi|cobij|ele kosu|muttakkoos|kovees|cobi|bandha kobi|patta gobi|gova|muttai kosu|kosu,synonym
